Part ID,Part Code,Part Description,Manufacturer,Category,Stock Quantity,Unit Price (USD),Manufacture Date,Acquisition Date,Estimated Lifespan (years)
P-0000001,STR-70598-D,Part airframe model 140,Collins Aerospace,airframe,10,4763.88,2024-05-05,2025-04-05,24.4
P-0000002,HYD-37684-P,Part hydraulic model 816,Pratt & Whitney,hydraulic,10,1561.12,2012-07-01,2015-05-13,12.3
P-0000003,ELE-87722-S,Part electrical system model 447,Honeywell,electrical system,16,2362.62,2010-07-24,2011-07-21,4.9
P-0000004,STR-48046-N,Part airframe model 660,Honeywell,airframe,16,3789.59,2016-03-03,2016-12-03,17.4
P-0000005,ENG-31832-F,Part engine model 242,Rolls-Royce,engine,10,60473.27,2015-06-30,2017-11-02,11.8
P-0000006,ENG-44640-S,Part engine model 240,Thales Avionics,engine,11,41668.36,2015-01-03,2016-06-23,11.0
P-0000007,ENG-50491-D,Part engine model 664,Honeywell,engine,13,33909.78,2013-02-17,2013-09-02,16.5
P-0000008,HYD-82725-D,Part hydraulic model 206,Liebherr-Aerospace,hydraulic,8,4808.25,2012-04-19,2013-05-11,11.0
P-0000009,ELE-55520-H,Part electrical system model 132,Pratt & Whitney,electrical system,12,563.51,2025-03-06,2025-10-11,7.1
P-0000010,ELE-74442-B,Part electrical system model 299,Thales Avionics,electrical system,20,2724.24,2022-03-26,2022-11-06,5.3
P-0000011,ENG-31770-K,Part engine model 218,Thales Avionics,engine,12,39466.89,2011-12-14,2012-03-04,13.8
P-0000012,HYD-71477-U,Part hydraulic model 899,Liebherr-Aerospace,hydraulic,12,2621.07,2023-03-31,2025-02-24,12.0
P-0000013,HYD-42788-N,Part hydraulic model 328,Collins Aerospace,hydraulic,15,4597.33,2019-06-19,2020-07-23,13.0
P-0000014,ENG-89453-J,Part engine model 729,Thales Avionics,engine,7,88642.31,2010-09-18,2010-11-21,10.0
P-0000015,ENG-56489-H,Part engine model 787,Pratt & Whitney,engine,12,45464.92,2010-09-02,2012-08-05,10.9
P-0000016,ENG-38390-H,Part engine model 284,Honeywell,engine,8,53683.35,2012-02-07,2012-12-23,18.0
P-0000017,STR-79051-H,Part airframe model 929,Thales Avionics,airframe,10,5919.7,2014-11-27,2015-05-21,28.6
P-0000018,STR-44678-B,Part airframe model 949,Parker Aerospace,airframe,6,5033.53,2015-03-21,2018-01-21,24.2
P-0000019,STR-97802-P,Part airframe model 314,Thales Avionics,airframe,15,9665.42,2021-05-02,2021-07-21,17.1
P-0000020,STR-18076-W,Part airframe model 832,Pratt & Whitney,airframe,9,6290.54,2023-07-03,2024-08-23,18.2
P-0000021,ELE-25051-V,Part electrical system model 229,Thales Avionics,electrical system,14,1555.28,2010-08-06,2012-05-31,8.0
P-0000022,ENG-77551-Y,Part engine model 944,Collins Aerospace,engine,13,99230.12,2022-08-03,2025-07-10,13.7
P-0000023,STR-20236-Q,Part airframe model 371,MTU Aero Engines,airframe,11,19856.37,2014-06-17,2014-09-14,21.7
P-0000024,STR-70314-B,Part airframe model 857,Safran,airframe,14,3351.35,2024-07-29,2027-05-01,21.7
P-0000025,STR-26352-S,Part airframe model 734,Parker Aerospace,airframe,16,15627.42,2022-03-23,2024-10-29,24.7
P-0000026,ELE-20346-E,Part electrical system model 107,Liebherr-Aerospace,electrical system,15,3370.36,2019-05-30,2021-09-17,6.5
P-0000027,ENG-65904-T,Part engine model 502,Pratt & Whitney,engine,12,45076.63,2014-12-11,2015-03-31,16.0
P-0000028,STR-26108-H,Part airframe model 678,GE Aerospace,airframe,10,17147.99,2020-01-28,2020-12-07,18.3
P-0000029,STR-12853-Q,Part airframe model 726,Pratt & Whitney,airframe,17,23766.15,2023-03-21,2024-01-07,20.5
P-0000030,ENG-35920-C,Part engine model 468,Pratt & Whitney,engine,13,63455.39,2016-03-28,2017-10-26,14.5
P-0000031,ELE-16829-H,Part electrical system model 899,Parker Aerospace,electrical system,10,1547.67,2010-02-23,2010-07-02,8.1
P-0000032,ENG-83927-C,Part engine model 716,MTU Aero Engines,engine,15,30926.87,2013-07-31,2015-12-29,10.7
P-0000033,ENG-50667-S,Part engine model 636,Rolls-Royce,engine,13,29243.21,2025-08-29,2027-09-04,11.5
P-0000034,HYD-45843-Y,Part hydraulic model 152,Pratt & Whitney,hydraulic,10,3763.74,2019-06-25,2022-01-09,9.0
P-0000035,HYD-40543-M,Part hydraulic model 346,Parker Aerospace,hydraulic,15,6338.93,2017-08-19,2018-04-16,12.9
P-0000036,HYD-16611-S,Part hydraulic model 436,Rolls-Royce,hydraulic,14,1418.44,2016-03-26,2018-01-25,8.8
P-0000037,STR-94612-W,Part airframe model 380,Liebherr-Aerospace,airframe,6,15039.45,2013-06-27,2016-01-02,12.5
P-0000038,ENG-43043-X,Part engine model 132,GE Aerospace,engine,7,94485.65,2014-10-30,2014-12-23,16.8
P-0000039,ELE-82867-B,Part electrical system model 898,Honeywell,electrical system,14,648.24,2017-07-20,2019-03-06,8.4
P-0000040,STR-68745-M,Part airframe model 647,Rolls-Royce,airframe,3,6116.36,2012-04-17,2014-06-11,19.5
P-0000041,ENG-72077-P,Part engine model 442,Parker Aerospace,engine,14,19564.3,2012-01-30,2013-03-06,15.3
P-0000042,STR-21573-B,Part airframe model 990,Collins Aerospace,airframe,11,10799.69,2018-07-10,2019-07-26,27.3
P-0000043,ENG-95970-Q,Part engine model 338,Parker Aerospace,engine,12,24213.06,2012-03-03,2012-04-06,14.6
P-0000044,HYD-52840-R,Part hydraulic model 591,Liebherr-Aerospace,hydraulic,16,1650.06,2018-01-19,2019-07-01,8.7
P-0000045,STR-30662-U,Part airframe model 828,Parker Aerospace,airframe,11,19787.53,2017-09-18,2019-06-24,19.5
P-0000046,ELE-70721-H,Part electrical system model 276,Pratt & Whitney,electrical system,8,1035.97,2023-07-17,2025-09-23,7.1
P-0000047,STR-17386-O,Part airframe model 143,Collins Aerospace,airframe,18,9858.08,2015-12-07,2016-03-09,19.0
P-0000048,STR-50108-M,Part airframe model 403,MTU Aero Engines,airframe,10,7800.48,2010-12-22,2012-03-15,22.0
P-0000049,STR-85023-V,Part airframe model 769,Pratt & Whitney,airframe,8,5499.05,2020-04-21,2021-01-24,28.3
P-0000050,ENG-90140-T,Part engine model 368,Safran,engine,10,37600.07,2022-01-10,2022-08-21,13.6
P-0000051,HYD-37201-C,Part hydraulic model 782,Parker Aerospace,hydraulic,10,2663.08,2012-10-19,2013-07-11,7.1
P-0000052,ELE-59966-W,Part electrical system model 832,Rolls-Royce,electrical system,16,4315.43,2018-06-28,2019-07-22,5.3
P-0000053,HYD-20386-M,Part hydraulic model 499,MTU Aero Engines,hydraulic,13,5496.27,2011-10-08,2013-12-07,5.6
P-0000054,HYD-25225-V,Part hydraulic model 841,Liebherr-Aerospace,hydraulic,15,3847.71,2022-05-20,2023-09-02,8.4
P-0000055,STR-82197-N,Part airframe model 702,Liebherr-Aerospace,airframe,14,22431.88,2016-07-29,2016-10-05,19.0
P-0000056,HYD-28261-S,Part hydraulic model 530,Safran,hydraulic,7,4476.81,2024-02-06,2025-02-15,10.3
P-0000057,ENG-96755-B,Part engine model 520,Thales Avionics,engine,14,25521.36,2023-11-15,2024-03-12,20.2
P-0000058,ENG-76330-G,Part engine model 230,MTU Aero Engines,engine,16,27622.7,2018-02-10,2018-09-26,16.4
P-0000059,ENG-82322-O,Part engine model 509,Parker Aerospace,engine,11,136437.23,2022-12-13,2023-05-01,17.2
P-0000060,STR-50160-B,Part airframe model 837,GE Aerospace,airframe,8,14196.25,2014-04-25,2017-03-09,28.4
P-0000061,STR-37032-O,Part airframe model 324,Liebherr-Aerospace,airframe,4,9022.47,2011-07-24,2014-02-28,15.7
P-0000062,STR-71710-N,Part airframe model 242,Liebherr-Aerospace,airframe,11,9194.2,2011-01-11,2012-11-15,26.3
P-0000063,HYD-58821-N,Part hydraulic model 677,Parker Aerospace,hydraulic,8,3121.99,2024-10-31,2025-07-28,12.9
P-0000064,STR-23189-N,Part airframe model 639,Liebherr-Aerospace,airframe,10,41847.98,2015-02-10,2015-08-17,18.8
P-0000065,STR-17248-R,Part airframe model 224,Pratt & Whitney,airframe,8,4583.67,2016-06-28,2018-12-24,24.4
P-0000066,STR-73763-S,Part airframe model 311,Pratt & Whitney,airframe,10,14698.81,2011-10-16,2012-01-02,15.9
P-0000067,ENG-38605-Q,Part engine model 527,GE Aerospace,engine,19,83663.14,2015-03-23,2017-04-09,12.8
P-0000068,HYD-64479-H,Part hydraulic model 536,Collins Aerospace,hydraulic,12,1995.33,2012-04-07,2013-02-19,14.2
